Time(ms),Speed(kmh),RPM,LeftSignal,RightSignal,HighBeam,FuelLevel(%),EngineTemp(C),CheckEngine,BrakeWarn,DoorAjar
0,0.0,766,1,1,1,100,70,0,1,1
100,0.2,842,1,1,1,100,70,0,1,1
200,0.2,799,1,1,1,100,70,0,1,1
300,0.4,840,1,1,1,100,70,0,1,1
400,0.4,854,1,1,1,100,70,0,1,1
500,0.7,826,1,1,1,100,70,0,1,1
600,0.9,814,1,1,1,100,70,0,1,1
700,1.3,839,1,1,1,100,70,0,1,1
800,0.7,855,1,1,1,100,70,0,1,1
900,1.4,796,1,1,1,100,70,0,1,1
1000,1.3,884,1,1,1,100,70,0,1,1
1100,2.1,816,1,1,1,100,70,0,1,1
1200,2.4,864,1,1,1,100,70,0,1,1
1300,1.7,804,1,1,1,100,70,0,1,1
1400,1.6,890,1,1,1,100,70,0,1,1
1500,1.9,899,1,1,1,100,70,0,1,1
1600,2.4,876,1,1,1,100,70,0,1,1
1700,2.2,816,1,1,1,100,70,0,1,1
1800,2.7,864,1,1,1,100,70,0,1,1
1900,1.4,809,1,1,1,100,70,0,1,1
2000,3.2,862,1,1,1,100,70,0,1,1
2100,3.7,890,1,1,1,100,70,0,1,1
2200,1.6,854,1,1,1,100,70,0,1,1
2300,3.7,921,1,1,1,100,70,0,1,1
2400,3.9,883,1,1,1,100,70,0,1,1
2500,3.4,928,1,1,1,100,70,0,1,1
2600,5.1,992,1,1,1,100,70,0,1,1
2700,3.7,869,1,1,1,100,70,0,1,1
2800,1.9,815,1,1,1,100,70,0,1,1
2900,2.5,895,1,1,1,100,70,0,1,1
3000,4.2,886,1,1,1,100,70,0,1,1
3100,2.9,871,1,1,1,100,70,0,1,1
3200,5.4,973,1,1,1,100,70,0,1,1
3300,3.1,878,1,1,1,100,70,0,1,1
3400,4.1,951,1,1,1,100,70,0,1,1
3500,4.3,903,1,1,1,100,70,0,1,1
3600,7.2,966,1,1,1,100,70,0,1,1
3700,4.5,945,1,1,1,100,70,0,1,1
3800,6.7,1014,1,1,1,100,70,0,1,1
