Time(ms),Speed(kmh),RPM,LeftSignal,RightSignal,HighBeam,FuelLevel(%),EngineTemp(C),CheckEngine,BrakeWarn,DoorAjar
0,0.0,804,1,1,1,100,70,0,1,1
100,0.2,804,1,1,1,100,70,0,1,1
200,0.5,812,1,1,1,100,70,0,1,1
300,0.8,830,1,1,1,100,70,0,1,1
400,1.1,836,1,1,1,100,70,0,1,1
500,1.4,845,1,1,1,100,70,0,1,1
600,1.8,858,1,1,1,100,70,0,1,1
700,2.1,870,1,1,1,100,70,0,1,1
800,2.4,877,1,1,1,100,70,0,1,1
900,2.8,892,1,1,1,100,70,0,1,1
1000,3.1,900,1,1,1,100,70,0,1,1
1100,3.4,905,1,1,1,100,70,0,1,1
1200,3.7,923,1,1,1,100,70,0,1,1
1300,4.0,925,1,1,1,100,70,0,1,1
1400,4.3,937,1,1,1,100,70,0,1,1
1500,4.7,953,1,1,1,100,70,0,1,1
1600,4.9,960,1,1,1,100,70,0,1,1
1700,5.3,968,1,1,1,100,70,0,1,1
1800,5.6,978,1,1,1,100,70,0,1,1
1900,6.0,989,1,1,1,100,70,0,1,1
2000,6.3,1003,1,1,1,100,70,0,1,1
2100,6.5,1007,1,1,1,100,70,0,1,1
2200,6.8,1019,1,1,1,100,70,0,1,1
2300,7.2,1031,1,1,1,100,70,0,1,1
2400,7.5,1041,1,1,1,100,70,0,1,1
2500,7.8,1050,1,1,1,100,70,0,1,1
2600,8.1,1055,1,1,1,100,70,0,1,1
2700,8.5,1067,1,1,1,100,70,0,1,1
2800,8.8,1081,1,1,1,100,70,0,1,1
2900,9.2,1089,1,1,1,100,70,0,1,1
3000,9.4,1102,1,1,1,100,70,0,1,1
3100,9.8,1113,1,1,1,100,70,0,1,1
3200,10.1,1126,1,1,1,100,70,0,1,1
3300,10.5,1134,1,1,1,100,70,0,1,1
3400,10.9,1146,1,1,1,100,70,0,1,1
3500,11.2,1161,1,1,1,100,70,0,1,1
3600,11.5,1168,1,1,1,100,70,0,1,1
3700,11.6,1169,1,1,1,100,70,0,1,1
3800,12.0,1187,1,1,1,100,70,0,1,1
3900,12.2,1186,1,1,1,100,70,0,1,1
4000,12.7,1206,1,1,1,100,70,0,1,1
4100,12.9,1216,1,1,1,100,70,0,1,1
4200,13.3,1223,1,1,1,100,70,0,1,1
4300,13.7,1235,1,1,1,100,70,0,1,1
4400,13.9,1245,1,1,1,100,70,0,1,1
4500,14.4,1257,1,1,1,100,70,0,1,1
4600,14.6,1266,1,1,1,100,70,0,1,1
4700,15.1,1282,1,1,1,100,70,0,1,1
4800,15.4,1291,1,1,1,100,70,0,1,1
4900,15.5,1298,1,1,1,100,70,0,1,1
5000,15.6,1303,1,1,1,100,70,0,1,1
5100,16.1,1309,1,1,1,100,70,0,1,1
5200,16.5,1330,1,1,1,100,70,0,1,1
5300,17.0,1339,1,1,1,100,70,0,1,1
5400,17.0,1346,1,1,1,100,70,0,1,1
5500,17.6,1366,1,1,1,100,70,0,1,1
5600,18.0,1370,1,1,1,100,70,0,1,1
5700,18.2,1383,1,1,1,100,70,0,1,1
5800,18.6,1395,1,1,1,100,70,0,1,1
5900,18.9,1404,1,1,1,100,70,0,1,1
6000,18.8,1399,1,1,1,100,70,0,1,1
6100,19.5,1418,1,1,1,100,70,0,1,1
6200,19.8,1437,1,1,1,100,70,0,1,1
6300,20.3,1449,1,1,1,100,70,0,1,1
6400,20.6,1458,1,1,1,100,70,0,1,1
6500,20.5,1456,1,1,1,100,70,0,1,1
6600,20.9,1467,1,1,1,100,70,0,1,1
6700,21.2,1481,1,1,1,100,70,0,1,1
6800,21.5,1484,1,1,1,100,70,0,1,1
6900,22.1,1506,1,1,1,100,70,0,1,1
